DEVICE,DATE,DISSOLVED OXYGEN,ORP,PH,CONDUCTIVITY,TEMPERATURE
Lifeguard Dock DataPod™,04:21 09/05/2025,0,-204.3999938964844,1.940999984741211,24440,77.87659912109375
Lifeguard Dock DataPod™,01:29 08/07/2025,4.059999942779541,-99.5999984741211,5.873000144958496,46210,76.32139854431152
Lifeguard Dock DataPod™,00:59 08/07/2025,3.920000076293945,-107.4000015258789,6.224999904632568,46750,76.38259925842286
Lifeguard Dock DataPod™,00:30 08/07/2025,4.110000133514404,-101.9000015258789,6.22700023651123,46910,76.35380134582519
Lifeguard Dock DataPod™,00:00 08/07/2025,4.190000057220459,-99.5,6.342000007629395,46980,76.33219947814942
Lifeguard Dock DataPod™,23:30 08/06/2025,4.900000095367432,-96.80000305175781,6.285999774932861,46040,76.40420112609863
Lifeguard Dock DataPod™,23:00 08/06/2025,6.230000019073486,-81.5999984741211,6.659999847412109,47350,76.07119865417481
Lifeguard Dock DataPod™,22:30 08/06/2025,5.53000020980835,-109.4000015258789,6.770999908447266,46950,75.70759925842286
Lifeguard Dock DataPod™,22:00 08/06/2025,4.389999866485596,-105.4000015258789,6.921000003814697,46650,75.65899848937988
Lifeguard Dock DataPod™,21:30 08/06/2025,4.199999809265137,-110.1999969482422,6.894999980926514,47110,75.77960090637207
Lifeguard Dock DataPod™,21:01 08/06/2025,3.940000057220459,-109.8000030517578,6.948999881744385,46630,75.36379928588866
Lifeguard Dock DataPod™,20:31 08/06/2025,4.150000095367432,-108.3000030517578,6.89300012588501,46680,75.39439964294434
Lifeguard Dock DataPod™,20:01 08/06/2025,4.28000020980835,-108.5999984741211,6.861999988555908,47610,75.33139991760254
Lifeguard Dock DataPod™,19:31 08/06/2025,4.150000095367432,-110.3000030517578,6.64300012588501,47700,74.87779846191405
Lifeguard Dock DataPod™,19:01 08/06/2025,3.660000085830689,-106.9000015258789,6.49399995803833,47770,74.78060035705568
Lifeguard Dock DataPod™,18:31 08/06/2025,3.529999971389771,-105.5999984741211,6.36899995803833,47720,74.85799903869628
Lifeguard Dock DataPod™,18:01 08/06/2025,3.559999942779541,-107.4000015258789,6.39799976348877,47520,74.56279983520508
Lifeguard Dock DataPod™,17:31 08/06/2025,2.849999904632568,-102,5.945000171661377,47530,74.68879928588866
Lifeguard Dock DataPod™,17:01 08/06/2025,2.380000114440918,-97,5.941999912261963,47050,74.69780120849609
Lifeguard Dock DataPod™,16:32 08/06/2025,2.22000002861023,-91.30000305175781,5.705999851226807,47050,74.59880065917969
Lifeguard Dock DataPod™,16:02 08/06/2025,2.119999885559082,-88.4000015258789,5.407999992370606,45460,74.59340019226073
Lifeguard Dock DataPod™,15:32 08/06/2025,2.440000057220459,-89.0999984741211,5.426000118255615,46460,74.58080024719239
Lifeguard Dock DataPod™,15:02 08/06/2025,2.450000047683716,-84.9000015258789,5.466000080108643,45820,74.62579956054688
Lifeguard Dock DataPod™,14:32 08/06/2025,2.420000076293945,-82.80000305175781,5.443999767303467,45020,74.90119934082031
Lifeguard Dock DataPod™,14:02 08/06/2025,2.180000066757202,-81.19999694824219,5.372000217437744,45940,74.87240142822266
Lifeguard Dock DataPod™,13:32 08/06/2025,2.269999980926514,-77.80000305175781,5.35099983215332,45240,74.86339950561523
